id,user_id,user_uid,product_title,product_breadcrumb,product_url,created_at,updated_at
84,78,78,Floral Printed Round Neck T-Shirt,,,2024-03-05 19:43:10,2024-03-05 19:43:10
85,78,78,Cotton Rich Cuffed Joggers,,,2024-03-05 19:43:10,2024-03-05 19:43:10
86,78,78,Jersey Wide Leg Trousers with Stretch,,,2024-03-05 19:43:10,2024-03-05 19:43:10
87,78,78,Organic Percale Sheet Set,,,2024-03-05 19:43:10,2024-03-05 19:43:10
88,78,78,White Noise Machine,,,2024-03-05 19:43:10,2024-03-05 19:43:10
89,78,78,Anywhere Travel Pillow,,,2024-03-05 19:43:10,2024-03-05 19:43:10
90,78,78,Original Dog Bed,,,2024-03-05 19:43:10,2024-03-05 19:43:10
91,78,78,Mattress Protector,,,2024-03-05 19:43:10,2024-03-05 19:43:10
92,78,78,"Kapiva Him Foods Shilajit Gold, 30 capsules",,,2024-03-05 19:43:10,2024-03-05 19:43:10
93,78,78,"Titan Crest with 3.63 cm AMOLED Display and AOD, Functional Crown, BT Calling Smartwatch with Rose Gold Mesh Strap",,,2024-03-05 19:44:40,2024-03-05 19:44:40
94,78,78,Titan Mechanical Green Dial Automatic watch for Men with Leather Strap,,,2024-03-05 19:44:40,2024-03-05 19:44:40
95,78,78,Anne Klein Quartz Analog Blue Dial Plastic Strap Watch for Women,,,2024-03-05 19:44:40,2024-03-05 19:44:40
96,78,78,"",,,2024-03-05 19:44:40,2024-03-05 19:44:40
97,78,78,ADILETTE SHOWER SLIDES,,,2024-03-05 19:44:40,2024-03-05 19:44:40
98,78,78,SOLE Equipment Mat,,,2024-03-05 19:44:40,2024-03-05 19:44:40
99,78,78,Mint Green Golden Sequins Thread Work Saree Party Wear,,,2024-03-05 19:44:40,2024-03-05 19:44:40
100,78,78,Magenta Printed Jumpsuit,,,2024-03-05 19:44:40,2024-03-05 19:44:40
101,78,78,Floral Printed Round Neck T-Shirt,,,2024-03-05 19:44:40,2024-03-05 19:44:40
102,78,78,Cotton Rich Cuffed Joggers,,,2024-03-05 19:44:40,2024-03-05 19:44:40
103,78,78,Jersey Wide Leg Trousers with Stretch,,,2024-03-05 19:44:40,2024-03-05 19:44:40
104,78,78,Organic Percale Sheet Set,,,2024-03-05 19:44:40,2024-03-05 19:44:40
105,78,78,White Noise Machine,,,2024-03-05 19:44:40,2024-03-05 19:44:40
106,78,78,Anywhere Travel Pillow,,,2024-03-05 19:44:40,2024-03-05 19:44:40
107,78,78,Original Dog Bed,,,2024-03-05 19:44:40,2024-03-05 19:44:40
108,78,78,Mattress Protector,,,2024-03-05 19:44:40,2024-03-05 19:44:40
109,78,78,"Kapiva Him Foods Shilajit Gold, 30 capsules",,,2024-03-05 19:44:40,2024-03-05 19:44:40
110,78,78,"Kapiva Himalayan Shilajit Resin, 40 g",,,2024-03-05 19:44:40,2024-03-05 19:44:40
111,78,78,SIGNATURE BLACK DIAL SILVER WATCH,,,2024-03-05 19:47:10,2024-03-05 19:47:10
112,78,78,KLAUS & DAVE COUPLE WATCHES,,,2024-03-05 19:50:30,2024-03-05 19:50:30
113,78,78,"",,,2024-03-05 19:51:20,2024-03-05 19:51:20
114,78,78,BEWITCHED ADELLA GREEN CLAW CLIP,,,2024-03-05 19:52:10,2024-03-05 19:52:10
115,78,78,BEWITCHED ADELLA GREEN CLAW CLIP,,,2024-03-05 19:53:24,2024-03-05 19:53:24
116,78,78,Graphic Print Cotton Shirt,,,2024-03-05 20:00:26,2024-03-05 20:00:26
117,78,78,Men Black Tapered Fit Cargos Trousers,,,2024-03-05 20:09:03,2024-03-05 20:09:03
118,78,78,Girls Moulded Pattern Slide Sandals,,,2024-03-05 20:24:14,2024-03-05 20:24:14
119,78,78,Girls Moulded Pattern Slide Sandals,,,2024-03-05 20:25:04,2024-03-05 20:25:04
120,78,78,Girls Moulded Pattern Slide Sandals,,,2024-03-05 20:25:55,2024-03-05 20:25:55
121,78,78,Bumzee Half Sleeves Dinosaur Printed Romper - White,,,2024-03-05 20:35:05,2024-03-05 20:35:05
122,78,78,Lilly + Sid Sleeveless Solid Corduroy Playsuit with Flowers Applique - Yellow,,,2024-03-05 20:35:54,2024-03-05 20:35:54
123,78,78,"",,,2024-03-05 20:46:58,2024-03-05 20:46:58
124,78,78,"",,,2024-03-05 20:47:46,2024-03-05 20:47:46
125,78,78,Gold Full Rim Aviator,,,2024-03-05 20:50:29,2024-03-05 20:50:29
126,78,78,Godrej aer O Hanging Car Air Freshener Gel | Car Accessories | Musk After Smoke (7.5G),,,2024-03-05 20:55:29,2024-03-05 20:55:29
127,78,78,"Nail Free Sealant Glue Multifunction Adhesive Glue Multifunctional Strong Glue for Wood, Ceramic, Metal, Glass, All-Purpose Heavy-Duty Adhesive, (12 Gram x Pack Of 2)",,,2024-03-05 21:03:52,2024-03-05 21:03:52
128,78,78,"V-GUARD 12 Amps Voltage Stabilizer For 1.5 Ton Air Conditioner (170 - 270 V, Latest IC Technology, VG 400, Grey)",,,2024-03-05 21:06:22,2024-03-05 21:06:22
129,78,78,Apple iPhone 11 64GB Unlocked Smartphone - Very Good,,,2024-03-05 21:09:42,2024-03-05 21:09:42
130,78,78,COSRX One Step Green Hero Calming Pad,,,2024-03-05 21:15:31,2024-03-05 21:15:31
131,78,78,"Rare Beauty by Selena Gomez
Always An Optimist 4-in-1 Prime & Set Mist",,,2024-03-05 21:22:19,2024-03-05 21:22:19
132,78,78,"SEPHORA COLLECTION
Microsmooth Multi-Tasking Baked Face Powder Foundation",,,2024-03-05 21:22:19,2024-03-05 21:22:19
133,78,78,"",,,2024-03-05 21:24:49,2024-03-05 21:24:49
134,78,78,Fastrack Brown Faux Leather Solid Tote Handbag,,,2024-03-05 21:24:49,2024-03-05 21:24:49
135,78,78,Biba Lime Green Printed Kurta Pant Set With Dupatta,,,2024-03-05 21:25:39,2024-03-05 21:25:39
136,78,78,Biba Lime Green Printed Kurta Pant Set With Dupatta,,,2024-03-05 21:27:37,2024-03-05 21:27:37
137,78,78,"",,,2024-03-05 21:27:37,2024-03-05 21:27:37
138,78,78,Biba Lime Green Printed Kurta Pant Set With Dupatta,,,2024-03-05 21:27:37,2024-03-05 21:27:37
139,78,78,"",,,2024-03-05 21:27:37,2024-03-05 21:27:37
140,78,78,Biba Lime Green Printed Kurta Pant Set With Dupatta,,,2024-03-05 21:27:37,2024-03-05 21:27:37
141,78,78,"",,,2024-03-05 21:27:37,2024-03-05 21:27:37
142,78,78,"",,,2024-03-05 21:29:17,2024-03-05 21:29:17
143,78,78,"",,,2024-03-05 21:29:17,2024-03-05 21:29:17
144,78,78,"",,,2024-03-05 21:29:17,2024-03-05 21:29:17
145,78,78,"",,,2024-03-05 21:30:07,2024-03-05 21:30:07
146,78,78,"",,,2024-03-05 21:30:07,2024-03-05 21:30:07
147,78,78,"",,,2024-03-05 21:30:07,2024-03-05 21:30:07
148,78,78,"",,,2024-03-05 21:30:57,2024-03-05 21:30:57
149,78,78,"",,,2024-03-05 21:30:57,2024-03-05 21:30:57
150,78,78,"",,,2024-03-05 21:30:57,2024-03-05 21:30:57
151,78,78,"",,,2024-03-05 21:30:57,2024-03-05 21:30:57
152,78,78,"",,,2024-03-05 21:30:57,2024-03-05 21:30:57
153,78,78,"",,,2024-03-05 21:30:57,2024-03-05 21:30:57
154,78,78,"",,,2024-03-05 21:31:47,2024-03-05 21:31:47
155,78,78,"",,,2024-03-05 21:31:47,2024-03-05 21:31:47
156,78,78,"",,,2024-03-05 21:31:47,2024-03-05 21:31:47
157,78,78,"",,,2024-03-05 21:31:47,2024-03-05 21:31:47
158,78,78,"",,,2024-03-05 21:31:47,2024-03-05 21:31:47
159,78,78,"",,,2024-03-05 21:31:47,2024-03-05 21:31:47
160,78,78,Textured: Plaid Deep Sea,,,2024-03-05 21:33:27,2024-03-05 21:33:27
161,78,78,Textured: Plaid Deep Sea,,,2024-03-05 21:33:27,2024-03-05 21:33:27
162,78,78,Textured: Plaid Deep Sea,,,2024-03-05 21:33:27,2024-03-05 21:33:27
163,78,78,Manchester City: Champs Forever,,,2024-03-05 21:34:17,2024-03-05 21:34:17
164,78,78,Manchester City: Champs Forever,,,2024-03-05 21:34:17,2024-03-05 21:34:17
165,78,78,Manchester City: Champs Forever,,,2024-03-05 21:34:17,2024-03-05 21:34:17
166,78,78,Solids: Azure Blue,,,2024-03-05 21:35:07,2024-03-05 21:35:07
167,78,78,Solids: Azure Blue,,,2024-03-05 21:35:07,2024-03-05 21:35:07
168,78,78,Solids: Azure Blue,,,2024-03-05 21:35:07,2024-03-05 21:35:07
169,78,78,POPxo Makeup - InstaGlamm Face Kit,,,2024-03-05 21:39:44,2024-03-05 21:39:44
170,78,78,"",,,2024-03-05 21:40:34,2024-03-05 21:40:34
171,78,78,Women Cotton Blend Gym T-Shirt Regular-Fit 500 - Mottled Pink,,,2024-03-05 21:41:24,2024-03-05 21:41:24
172,78,78,NORTH STAR BLACK CASUAL SHOES FOR MEN,,,2024-03-05 21:43:54,2024-03-05 21:43:54
173,78,78,BLACK VISCOSE STRAIGHT KURTA SET,,,2024-03-05 21:45:34,2024-03-05 21:45:34
174,78,78,Ribbed cotton dungarees,,,2024-03-05 21:56:33,2024-03-05 21:56:33
175,78,78,Cotton T-shirt,,,2024-03-05 21:57:23,2024-03-05 21:57:23
176,78,78,Mettle Cream To Powder Foundation - 07 Vanilla Latte,,,2024-03-05 22:35:12,2024-03-05 22:35:12
177,78,78,Twist And Shout Fadeproof Kajal - 01 Black Velvet (Black),,,2024-03-05 22:35:12,2024-03-05 22:35:12
178,78,78,Mirinda Orange 2.25 L,,,2024-03-05 22:35:12,2024-03-05 22:35:12
179,78,78,Reliance Jewels 999 Flower Round Gold Coin 4 g,,,2024-03-05 22:35:12,2024-03-05 22:35:12
180,78,78,"Nelson Brown Fabric Shade Night Lamp With Wood Base,",,,2024-03-05 22:35:12,2024-03-05 22:35:12
181,78,78,"Queen Bedsheet With 2 Pillow Covers -Turquoise Traditional 120 TC 100% Cotton,",,,2024-03-05 22:35:12,2024-03-05 22:35:12
182,78,78,"Alexa Double Futon in Ochre Colour with Mattress,",,,2024-03-05 22:35:12,2024-03-05 22:35:12
183,78,78,Men's Black Gohan Graphic Printed Vest,,,2024-03-05 22:35:12,2024-03-05 22:35:12
184,78,78,Everherb Diabetic Care Juice-13 Potent Ingredients -Healthy Blood Sugar Management - 500 Ml Bottle,,,2024-03-05 22:35:12,2024-03-05 22:35:12
185,78,78,"Sony WF-1000XM4 True Wireless Earbuds with Noise Cancellation, 8 hrs of playtime, Integrated Processor V1, IPX4 Water Resistance, Speak-to-chat Technology, Qi technology, Black(492579491)",,,2024-03-05 22:51:30,2024-03-05 22:51:30
186,78,78,"Redgear MS-150 Wireless Gamepad with Dual Intensity Vibration Motor, Punk Yellow(492579184)",,,2024-03-05 22:51:30,2024-03-05 22:51:30
187,78,78,"",,,2024-03-06 11:36:29,2024-03-06 11:36:29
188,78,78,Greystone Full Rim Wayfarer,,,2024-03-06 11:36:29,2024-03-06 11:36:29
189,78,78,Parle Hide & Seek Chocolate Chip Cookies 400 g,,,2024-03-06 11:51:29,2024-03-06 11:51:29
190,78,78,La La Love 18HR Liquid Lipstick - Set of 3,,,2024-03-06 11:51:29,2024-03-06 11:51:29
191,78,78,Redmi 13C 5G,,,2024-03-06 12:51:29,2024-03-06 12:51:29
192,78,78,Xiaomi Smart Air Fryer,,,2024-03-06 12:51:29,2024-03-06 12:51:29
193,78,78,Xiaomi Smart Air Purifier 4 Lite Filter,,,2024-03-06 13:07:51,2024-03-06 13:07:51
194,78,78,Xiaomi Smart Air Purifier 4,,,2024-03-06 13:07:51,2024-03-06 13:07:51
195,78,78,Redmi 12,,,2024-03-06 13:07:51,2024-03-06 13:07:51
196,78,78,Dabur Pure Herbs Immunity Booster Ashwagandha Tablet,,,2024-03-06 13:22:51,2024-03-06 13:22:51
197,78,78,Himalaya Herbals Purifying Neem Face Wash | For Acne & Pimple Relief,,,2024-03-06 13:37:51,2024-03-06 13:37:51
198,78,78,Carbamide Forte Liver Detox with Milk Thistle Extract 800mg+ Multivitamin | For Liver Health & Digestion | Tablet,,,2024-03-06 13:37:51,2024-03-06 13:37:51
199,78,78,Men Sportswear Sport Essentials Woven Lined Flow Shorts,,,2024-03-06 15:07:53,2024-03-06 15:07:53
200,78,78,Sportswear Typography Printed Round Neck Cotton Sweatshirt,,,2024-03-06 15:07:53,2024-03-06 15:07:53
201,78,78,Ethnic Motifs Embroidered Sequined Kurta with Palazzos & Dupatta,,,2024-03-06 15:07:53,2024-03-06 15:07:53
202,78,78,Cello Bling Pastel Ball Pen | Blue Ball Pen | Jar of 25 Units | Best Ball Pens for Smooth Writing | Ball Point Pen Set | Pens for Students | Office Stationery Items | Best pen for Exam,,,2024-03-06 16:10:47,2024-03-06 16:10:47
203,78,78,Ajanta Quartz 14 Inch Vintage Plastic Wall Clock (Oak),,,2024-03-06 16:10:47,2024-03-06 16:10:47
